station_id,lon,lat,name
596,11.1908,54.0028,Boltenhagen
891,8.7058,53.8713,Cuxhaven
1200,9.0106,54.0691,Elpersbüttel
1266,9.3162,54.2992,Erfde
1451,9.2493,53.8277,Freiburg/Elbe
1736,10.6797,53.5731,Grambek
1975,9.9881,53.6332,Hamburg-Fuhlsbüttel
1981,9.8957,53.4777,Hamburg-Neuwiedenthal
2306,10.6732,54.3194,Hohwacht
2429,9.5696,53.9897,Itzehoe
2564,10.1433,54.3761,Kiel-Holtenau
2907,8.9514,54.7903,Leck
3032,8.4125,55.011,List
3086,10.6988,53.8025,Lübeck-Blankensee
4039,9.8776,53.7331,Quickborn
4393,8.603,54.3279,Sankt
4466,9.5486,54.5275,Schleswig
4857,9.6094,53.5527,Mittelnkirchen-Hohenfelde
5280,10.2268,53.9223,Wittenborn
5516,11.0605,54.5284,Fehmarn
6093,10.4704,53.2139,Wendisch
6105,9.8051,54.3194,Ostenfeld
7298,9.0425,54.5268,Hattstedt
7427,9.9255,54.0188,Padenstedt
